Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Strategy,Thematic,Children,Party,Abstract,War,Family,Customizable
2017.0,1,4,120,14,42055,8.79,3.86,68323.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,2,4,60,13,41643,8.61,2.84,65294.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,2,4,120,14,19217,8.66,3.91,28785.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,1,5,120,12,64864,8.43,3.24,87099.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,3,6,480,14,13468,8.7,4.22,16831.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.0,1,4,120,14,8392,8.87,3.55,21609.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,2,4,120,14,23061,8.43,4.41,26985.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,1,4,150,12,16352,8.49,4.35,20312.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,2,4,240,14,23081,8.42,3.71,34849.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,2,2,180,13,40814,8.29,3.59,56219.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016.0,2,4,150,12,29457,8.3,3.71,35804.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,2,4,180,13,13725,8.49,4.14,22281.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2017.0,1,4,120,13,25722,8.35,4.01,38254.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,1,5,115,14,57871,8.24,3.41,75640.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011.0,2,4,90,12,46507,8.13,3.0,63058.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,2,5,150,12,39284,8.14,3.96,42720.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,2,2,30,10,60302,8.11,2.23,94343.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,2,5,100,13,28105,8.12,3.03,32014.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007.0,2,4,120,14,19400,8.17,3.86,25429.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,1,5,70,10,43165,8.11,2.42,61775.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016.0,1,4,120,12,17377,8.2,3.84,22794.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,1,2,120,14,28577,8.17,3.44,50883.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2015.0,1,6,90,13,29486,8.08,2.91,39747.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,1,5,180,12,12290,8.4,3.35,17574.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014.0,2,4,90,12,22244,8.09,3.05,27093.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011.0,1,4,240,14,27850,8.1,4.31,39421.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,2,4,90,10,24412,8.1,3.67,37715.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2002.0,3,5,150,12,63128,7.99,3.28,73413.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,2,5,240,14,13863,8.14,4.2,16413.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,1,7,210,12,28123,8.02,3.79,35475.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007.0,1,5,150,12,63498,7.94,3.64,75679.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,2,4,90,14,33940,8.0,2.88,40664.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,1,5,180,14,25116,8.06,2.69,39007.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,1,4,1000,14,16868,8.15,2.87,30488.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,2,4,60,14,12100,8.15,3.25,24373.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,1,4,80,13,19552,8.08,2.81,29225.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
